,importance
stime,0.13551274074500042
ltime,0.12168953740396231
dport,0.11395508192121478
proto,0.05980928208443789
seq,0.05897118294572252
sport,0.057937869657223695
flgs,0.052851340380832695
sbytes,0.05187015218018684
spkts,0.05068356868545612
dpkts,0.05022986312977832
pkts,0.045152781735035896
state,0.04093751368183905
mean,0.03221489925364174
pkSeqID,0.02201022668058583
dur,0.02088973836182683
bytes,0.01532759201184267
dbytes,0.014841264963907278
min,0.012476643041850722
sum,0.012226591652548918
drate,0.00934585516623754
rate,0.008475920232994632
srate,0.007311562111493221
max,0.004738971633899918
stddev,0.0005398203384802398
